favorite_count,hashtag,retweet_count,tweet_id
20933,None,4331,838476387338051585
0,None,9156,838201503651401729
1567,None,301,838150277551247360
133,None,1,838085839343206401
16431,None,2831,838083903487373313
31770,None,7133,837820167694528512
3598,None,405,837482249356513284
11967,None,2058,837471256429613056
15050,None,2173,837110210464448512
11924,None,2107,836989968035819520
18090,None,4254,836753516572119041
11824,None,2019,836677758902222849
0,None,506,836648853927522308
0,None,25006,836397794269200385
13879,None,2745,836380477523124226
19899,None,3974,836260088725786625
17859,None,3878,836001077879255040
0,None,7404,835685285446955009
16607,None,3291,835574547218894849
0,None,1539,835536468978302976
0,None,19108,835309094223372289
15402,None,2733,835297930240217089
7216,None,1539,835264098648616962
1987,None,63,835246439529840640
24519,None,5284,835172783151792128
20902,None,2755,835152434251116546
10080,None,1486,834931633769889797
20180,None,5102,834786237630337024
12786,None,2304,834574053763584002
0,None,9742,834477809192075265
9017,None,1543,834458053273591808
19204,None,4316,834209720923721728
14807,None,3353,834167344700198914
9429,None,1960,834089966724603904
12215,None,2037,834086379323871233
12595,None,2204,833863086058651648
17042,None,3482,833826103416520705
0,None,203,833732339549220864
19641,None,2991,833722901757046785
13975,None,1885,833479644947025920
18953,None,4432,833124694597443584
12402,None,2007,832998151111966721
0,None,38,832769181346996225
15820,None,3312,832757312314028032
11118,None,2659,832682457690300417
2730,None,484,832645525019123713
14861,None,2553,832636094638288896
